Year, DayOfYear, WeekOfYear, DateTime, distanceMeters, totalTimeSeconds
2022,276,40,2022-10-03T08:08,8076,3063
2021,25,4,2021-01-25T07:48,2414,810
2018,243,35,2018-08-31T06:45,5414,1937
2022,81,12,2022-03-22T07:58,8463,3650
2018,216,31,2018-08-04T06:21,9151,3635
2020,135,20,2020-05-14T06:29,6822,2511
2022,303,44,2022-10-30T07:39,9709,3588
2021,12,2,2021-01-12T17:06,1614,588
2021,211,31,2021-07-30T08:13,5630,2425
2023,40,6,2023-02-09T16:30,2727,1133
2022,350,50,2022-12-16T13:18,8078,2959
2022,262,38,2022-09-19T17:28,6387,3324
2020,68,10,2020-03-08T08:32,16317,6036
2018,49,7,2018-02-18T17:52,8163,3190
2020,61,9,2020-03-01T07:01,10276,3356
2023,13,2,2023-01-13T19:24,4729,2096
2020,269,39,2020-09-25T07:25,1614,557
2018,120,18,2018-04-30T06:37,10852,3993
2022,136,20,2022-05-16T06:41,3351,1647
2020,72,11,2020-03-12T09:58,6500,2441
2021,290,42,2021-10-17T17:57,6701,2993
2021,70,10,2021-03-11T14:25,6580,2842
2020,144,21,2020-05-23T06:53,9716,3561
2022,144,21,2022-05-24T07:17,4124,2045
2022,116,17,2022-04-26T10:53,10217,4564
2017,362,52,2017-12-28T17:42,5168,2985
2021,127,19,2021-05-07T07:53,4866,1821
2022,60,9,2022-03-01T09:50,8084,2887
2020,47,7,2020-02-16T07:14,1813,676
2022,141,21,2022-05-21T17:14,4303,2094
2018,304,44,2018-10-31T19:25,6442,3114
2021,209,30,2021-07-28T07:36,5045,2163
2022,306,44,2022-11-02T17:57,4000,1976
2021,29,5,2021-01-29T11:54,1615,579
2021,236,34,2021-08-24T08:31,1609,857
2022,294,42,2022-10-21T16:51,8600,3889
2020,278,40,2020-10-04T07:23,1605,599
2022,321,46,2022-11-17T16:41,4776,2136
2018,120,18,2018-04-30T09:44,1145,916
2021,179,26,2021-06-28T17:11,1611,660
2020,158,23,2020-06-06T07:58,12932,4724
2022,346,50,2022-12-12T12:32,8120,3149
2021,144,21,2021-05-24T18:23,2165,998
2022,343,49,2022-12-09T07:44,1862,770
2022,63,9,2022-03-04T17:28,3318,1224
2022,309,45,2022-11-05T16:22,5835,2762
2022,160,23,2022-06-09T05:54,6284,2260
2022,89,13,2022-03-30T16:41,4386,2016
2023,47,7,2023-02-16T17:49,492,219
2022,96,14,2022-04-06T16:08,8226,3645
2022,110,16,2022-04-20T19:13,9703,4438
2022,60,9,2022-03-01T09:50,8084,2887
2018,224,32,2018-08-12T07:32,5178,2450
2018,149,22,2018-05-29T19:01,4297,2471
2020,250,36,2020-09-06T06:51,1619,562
2017,320,46,2017-11-16T07:52,5526,2368
2021,333,48,2021-11-29T16:33,8073,3184
2021,82,12,2021-03-23T17:56,9720,3857
2020,88,13,2020-03-28T09:01,6836,2534
2022,50,8,2022-02-19T17:42,8125,3089
2020,176,26,2020-06-24T06:34,1608,609
2020,201,29,2020-07-19T17:08,6501,2395
2020,32,5,2020-02-01T19:19,418,150
2017,343,49,2017-12-09T19:16,5094,1996
2021,288,42,2021-10-15T08:11,1879,8616
2021,276,40,2021-10-03T17:53,5496,7824
2018,296,43,2018-10-23T18:10,7143,3196
2022,102,15,2022-04-12T17:56,7082,3119
2022,75,11,2022-03-16T17:37,8928,3704
2021,68,10,2021-03-09T09:32,1616,586
2018,50,8,2018-02-19T18:02,8053,3181
2023,23,4,2023-01-23T08:56,4841,1715
2018,159,23,2018-06-08T20:23,1713,2029
2021,306,44,2021-11-02T17:14,2577,1655
2018,62,9,2018-03-03T07:29,10000,4601
2021,18,3,2021-01-18T17:29,1613,600
2018,336,48,2018-12-02T09:01,6759,2344
2022,9,2,2022-01-09T17:49,4162,1915
2022,257,37,2022-09-14T07:12,8053,3090
2022,319,46,2022-11-15T05:45,8437,3065
2021,40,6,2021-02-09T07:40,1610,619
2020,109,16,2020-04-18T07:29,10217,3751
2020,166,24,2020-06-14T10:03,8207,3457
2018,233,34,2018-08-21T05:13,6582,2326
2021,133,19,2021-05-13T07:41,1612,583
2020,350,50,2020-12-15T09:46,1608,625
2021,14,2,2021-01-14T09:09,1612,607
2021,341,49,2021-12-07T16:34,6671,3514
2020,200,29,2020-07-18T16:53,6533,2645
2020,106,16,2020-04-15T07:16,1610,595
2021,8,2,2021-01-08T10:28,5017,1857
2020,246,36,2020-09-02T06:44,1614,604
2020,277,40,2020-10-03T07:59,1614,597
2022,291,42,2022-10-18T16:57,6666,2795
2022,137,20,2022-05-17T17:11,4083,3186
2022,203,29,2022-07-22T07:04,6468,2161
2018,18,3,2018-01-18T17:42,4900,1822
2022,311,45,2022-11-07T06:53,7072,2589
2021,138,20,2021-05-18T16:50,1594,733
2018,185,27,2018-07-04T07:31,6674,2589
2022,128,19,2022-05-08T16:22,10057,4416
2022,153,22,2022-06-02T05:57,7052,2935
2022,69,10,2022-03-10T17:21,8442,4083
2020,57,9,2020-02-26T17:39,2160,1946
2021,278,40,2021-10-05T19:02,2714,1770
2022,247,36,2022-09-04T06:55,5419,2344
2020,291,42,2020-10-17T07:22,1611,583
2018,204,30,2018-07-23T18:31,3771,1390
2020,318,46,2020-11-13T07:18,1610,614
2022,136,20,2022-05-16T06:41,3351,1647
2022,313,45,2022-11-09T17:33,7314,3466
2022,108,16,2022-04-18T18:17,5154,2361
2020,65,10,2020-03-05T07:06,6502,2469
2018,229,33,2018-08-17T06:57,1340,5775
2018,228,33,2018-08-16T06:54,5770,2062
2017,314,45,2017-11-10T09:39,1000,533
2022,122,18,2022-05-02T06:22,5041,2507
2022,64,10,2022-03-05T18:15,8096,2824
2021,363,52,2021-12-29T19:10,3391,1870
2022,291,42,2022-10-18T16:57,6666,2795
2017,327,47,2017-11-23T12:32,5085,2255
2022,232,34,2022-08-20T07:10,5178,1994
2017,251,36,2017-09-08T09:10,4112,1961
2020,59,9,2020-02-28T08:13,5230,1801
2020,63,9,2020-03-03T08:19,7182,2827
2022,260,38,2022-09-17T06:32,1802,878
2020,217,31,2020-08-04T16:08,1788,659
2022,115,17,2022-04-25T18:00,6549,3029
2017,272,39,2017-09-29T09:49,4000,1503
2021,315,45,2021-11-11T08:49,6444,2354
2022,51,8,2022-02-20T17:33,8114,2890
2022,210,30,2022-07-29T07:09,4855,1697
2020,131,19,2020-05-10T18:12,7049,2963
2018,226,33,2018-08-14T05:36,5385,2233
2022,105,15,2022-04-15T17:34,7639,3789
2021,295,43,2021-10-22T08:02,4841,2189
2020,320,46,2020-11-15T07:01,1609,652
2020,32,5,2020-02-01T17:42,4425,1623
2017,292,42,2017-10-19T08:27,3218,1370
2020,79,12,2020-03-19T07:18,6642,2497
2020,264,38,2020-09-20T06:53,1614,580
2020,220,32,2020-08-07T06:37,1605,564
2023,11,2,2023-01-11T18:37,2516,1085
2020,222,32,2020-08-09T06:36,1609,531
2022,120,18,2022-04-30T17:32,8730,4039
2022,70,10,2022-03-11T20:08,4672,2226
2021,218,32,2021-08-06T08:29,4092,2148
2018,112,16,2018-04-22T06:15,21688,8299
2021,280,40,2021-10-07T18:17,5125,2528
2022,31,5,2022-01-31T16:10,9667,4112
2018,212,31,2018-07-31T05:26,4723,1724
2023,8,2,2023-01-08T17:02,8086,3050
2023,19,3,2023-01-19T17:07,8079,2994
2020,232,34,2020-08-19T06:36,1614,619
2022,180,26,2022-06-29T16:13,6568,3383
2022,16,3,2022-01-16T16:13,9106,4438
2022,171,25,2022-06-20T07:46,1609,1213
2021,289,42,2021-10-16T07:46,6612,4191
2022,112,16,2022-04-22T16:45,9667,4510
2021,283,41,2021-10-10T10:13,5068,2942
2020,231,33,2020-08-18T06:58,1604,550
2020,67,10,2020-03-07T10:42,6544,2464
2020,295,43,2020-10-21T19:18,1612,678
2023,15,3,2023-01-15T19:14,5483,2340
2020,313,45,2020-11-08T19:00,6437,2520
2022,260,38,2022-09-17T06:32,1802,878
2022,231,33,2022-08-19T17:14,4234,1842
2022,70,10,2022-03-11T20:08,4672,2226
2022,30,5,2022-01-30T06:45,2903,1094
2020,32,5,2020-02-01T18:42,4425,1623
2022,285,41,2022-10-12T10:23,4472,1933
2020,81,12,2020-03-21T08:30,6594,2432
2022,282,41,2022-10-09T08:27,4852,1764
2022,157,23,2022-06-06T14:57,4884,2249
2022,271,39,2022-09-28T11:30,6000,3714
2022,116,17,2022-04-26T10:53,10217,4564
2020,51,8,2020-02-20T07:08,5070,1923
2022,186,27,2022-07-05T07:12,5940,2422
2022,206,30,2022-07-25T06:38,2850,1320
2021,286,41,2021-10-13T09:08,2825,3400
2018,298,43,2018-10-25T04:48,7856,3141
2021,234,34,2021-08-22T07:09,1612,651
2020,213,31,2020-07-31T19:45,6517,2336
2021,68,10,2021-03-09T09:34,9714,3544
2022,108,16,2022-04-18T18:17,5154,2361
2022,98,14,2022-04-08T17:32,8502,3905
2020,48,7,2020-02-17T11:17,4898,1931
2021,302,44,2021-10-29T17:05,7439,4067
2022,76,11,2022-03-17T12:21,4000,1697
2022,85,13,2022-03-26T17:08,6746,3140
2020,352,51,2020-12-17T08:07,1606,622
2020,155,23,2020-06-03T12:02,1602,665
2021,20,3,2021-01-20T17:29,1611,606
2022,345,50,2022-12-11T10:02,10459,3949
2022,45,7,2022-02-14T17:47,185,117
2022,140,20,2022-05-20T16:58,8065,3698
2022,308,44,2022-11-04T08:25,8062,2982
2021,347,50,2021-12-13T05:52,6171,3393
2018,303,44,2018-10-30T05:57,6533,2406
2022,112,16,2022-04-22T16:45,9666,4510
2020,230,33,2020-08-17T05:32,1610,548
2021,313,45,2021-11-09T17:10,6456,2492
2022,66,10,2022-03-07T18:21,246,80
2022,42,6,2022-02-11T19:10,3436,1552
2022,255,37,2022-09-12T06:48,8082,2975
2023,9,2,2023-01-09T17:27,2853,1109
2022,50,8,2022-02-19T18:34,229,148
2017,292,42,2017-10-19T08:51,142,117
2022,277,40,2022-10-04T08:32,6457,2321
2020,108,16,2020-04-17T07:51,9725,3744
2020,219,32,2020-08-06T06:34,1615,553
2018,219,32,2018-08-07T19:39,6074,2266
2018,148,22,2018-05-28T10:13,1501,771
2023,28,4,2023-01-28T18:37,2715,1098
2023,62,9,2023-03-03T15:31,4918,2473
2017,330,48,2017-11-26T09:50,5870,2662
