Year, DayOfYear, WeekOfYear, DateTime, distanceMeters, totalTimeSeconds
2020,284,41,2020-10-10T06:52,1605,596
2018,257,37,2018-09-14T11:20,8070,3023
2022,107,16,2022-04-17T15:33,5227,2579
2022,99,15,2022-04-09T16:42,7881,3657
2018,270,39,2018-09-27T05:02,6550,2434
2021,335,48,2021-12-01T16:47,6754,2686
2018,6,1,2018-01-06T15:36,7188,2759
2021,204,30,2021-07-23T07:25,1611,614
2018,263,38,2018-09-20T05:21,6558,3077
2018,231,33,2018-08-19T06:53,6452,3081
2022,134,20,2022-05-14T17:17,2918,1401
2023,12,2,2023-01-12T17:33,4013,2230
2018,153,22,2018-06-02T09:07,3259,1209
2018,189,27,2018-07-08T08:14,1609,1785
2018,142,21,2018-05-22T12:28,9837,3750
2020,122,18,2020-05-01T08:40,9741,3369
2020,93,14,2020-04-02T09:56,7172,2606
2022,14,2,2022-01-14T16:37,8509,3022
2018,221,32,2018-08-09T05:27,6000,2394
2022,127,19,2022-05-07T16:37,8096,3755
2017,337,49,2017-12-03T09:55,6000,2712
2022,36,6,2022-02-05T22:31,2844,1499
2022,132,19,2022-05-12T18:57,5000,2186
2018,68,10,2018-03-09T18:14,6311,3328
2022,174,25,2022-06-23T21:50,2408,1750
2018,48,7,2018-02-17T17:56,11420,5009
2018,88,13,2018-03-29T09:31,7062,3506
2021,307,44,2021-11-03T18:28,5443,2730
2022,208,30,2022-07-27T17:40,5539,2620
2020,204,30,2020-07-22T20:15,6517,2383
2023,32,5,2023-02-01T06:44,3119,1598
2022,93,14,2022-04-03T17:27,1634,725
2022,10,2,2022-01-10T09:41,6000,2273
2022,42,6,2022-02-11T19:10,3436,1552
2018,255,37,2018-09-12T06:07,5118,1918
2020,171,25,2020-06-19T06:41,9724,3700
2018,41,6,2018-02-10T17:41,9722,3924
2022,302,44,2022-10-29T15:37,6208,3124
2022,193,28,2022-07-12T06:51,7030,2762
2021,152,22,2021-06-01T07:19,1613,603
2017,338,49,2017-12-04T20:50,5882,2581
2017,361,52,2017-12-27T18:37,5173,2058
2022,295,43,2022-10-22T06:56,7313,2676
2018,317,46,2018-11-13T18:47,6321,2422
2022,233,34,2022-08-21T09:14,3235,1351
2022,12,2,2022-01-12T16:43,8096,2956
2018,327,47,2018-11-23T16:24,5518,3535
2020,92,14,2020-04-01T07:32,9712,3304
