Year, DayOfYear, WeekOfYear, DateTime, Calories
2022,1,1,2022-01-01T00:00,1668.821
2021,365,53,2021-12-31T00:00,1670.641
2021,364,52,2021-12-30T00:00,1669.281
2021,363,52,2021-12-29T00:00,1669.001
2021,362,52,2021-12-28T00:00,1671.741
2021,361,52,2021-12-27T00:00,1680.191
2021,360,52,2021-12-26T00:00,1671.741
2021,359,52,2021-12-25T00:00,1671.741
2021,358,52,2021-12-24T00:00,1672.571
2021,357,51,2021-12-23T00:00,1669.401
2021,356,51,2021-12-22T00:00,1683.621
2021,355,51,2021-12-21T00:00,1689.641
2021,354,51,2021-12-20T00:00,1689.641
2021,353,51,2021-12-19T00:00,1819.32
2021,352,51,2021-12-18T00:00,1679.371
2021,351,51,2021-12-17T00:00,1679.371
2021,350,50,2021-12-16T00:00,1679.371
2021,349,50,2021-12-15T00:00,1679.371
2021,348,50,2021-12-14T00:00,1689.641
2021,347,50,2021-12-13T00:00,1679.371
2021,346,50,2021-12-12T00:00,1679.371
2021,345,50,2021-12-11T00:00,1679.371
2021,344,50,2021-12-10T00:00,1679.371
2021,343,49,2021-12-09T00:00,1667.141
2021,342,49,2021-12-08T00:00,1679.371
2021,341,49,2021-12-07T00:00,1679.371
2021,340,49,2021-12-06T00:00,1679.371
2021,339,49,2021-12-05T00:00,1539.421
2021,338,49,2021-12-04T00:00,1679.371
2021,337,49,2021-12-03T00:00,1679.371
2021,336,48,2021-12-02T00:00,1683.881
2021,335,48,2021-12-01T00:00,1679.791
2021,334,48,2021-11-30T00:00,1679.231
2021,333,48,2021-11-29T00:00,1685.961
2021,332,48,2021-11-28T00:00,1685.961
2021,331,48,2021-11-27T00:00,1668.781
2021,330,48,2021-11-26T00:00,1671.911
2021,329,47,2021-11-25T00:00,1674.791
2021,328,47,2021-11-24T00:00,1678.041
2021,327,47,2021-11-23T00:00,1678.041
2021,326,47,2021-11-22T00:00,1574.672
2021,325,47,2021-11-21T00:00,1578.26
2021,324,47,2021-11-20T00:00,1617.821
2021,323,47,2021-11-19T00:00,1617.821
2021,322,46,2021-11-18T00:00,1617.821
2021,321,46,2021-11-17T00:00,1617.821
2021,320,46,2021-11-16T00:00,1617.821
2021,319,46,2021-11-15T00:00,1617.821
2021,318,46,2021-11-14T00:00,1617.821
2021,317,46,2021-11-13T00:00,1617.821
2021,316,46,2021-11-12T00:00,1617.821
2021,315,45,2021-11-11T00:00,1617.821
2021,314,45,2021-11-10T00:00,1617.821
2021,313,45,2021-11-09T00:00,1617.821
2021,312,45,2021-11-08T00:00,1617.821
2021,311,45,2021-11-07T00:00,1685.231
2021,310,45,2021-11-06T00:00,1617.821
